,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6849768740242355,-529953.380909654,773681.6905555523,0.0,11.38464177043144,3371,5
1,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6805798768051368,-70916.74894910675,104201.47868886901,0.0,11.37804731865888,6016,10
2,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6794250156376257,-8085.716547889954,11901.822551112109,0.0,11.376315301126533,8508,15
3,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6791911536774261,-8085.716547889954,11905.92029248392,0.0,11.375964563716177,11000,20
4,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6788968337220666,-6795.893521165082,10011.200642572525,0.0,11.37552315366868,13467,25
5,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6785716990287667,-4402.621898351011,6489.071790574883,0.0,11.375035528831159,15827,30
6,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6782738927536975,-3923.2171187412423,5785.119307339882,0.0,11.374588890131916,18187,35
7,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6779788071293796,-3146.561876267081,4642.091791039743,0.0,11.37414633176279,20546,40
8,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6776999277273565,-2430.7805050110255,3587.8094499619683,0.0,11.373728078878978,22908,45
9,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6774456132388257,-2050.026121686854,3027.1117374217033,0.0,11.373346667532527,25268,50
10,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6772115014506025,-1688.8010892631119,2494.7572466587785,0.0,11.372995555439456,27628,55
11,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6769969846638226,-1449.372366316529,2141.8845226042563,0.0,11.372673831195764,29988,60
12,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.676797709579872,-1326.8899132435522,1961.5413766356135,0.0,11.372374965887213,32348,65
13,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6766071140395613,-1243.8709627709102,1839.3947448388503,0.0,11.372089117833186,34708,70
14,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.676419890973971,-1212.3321426847533,1793.277487492461,0.0,11.371808327690454,37069,75
15,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6762307307559787,-1205.2725179019317,1783.3391678081848,0.0,11.371524632279089,39430,80
16,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6760354974610663,-1197.9716113608315,1773.0543016749266,0.0,11.371231828694382,41791,85
17,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6758318279624506,-1188.9309286515295,1760.2112112210064,0.0,11.370926372807276,44152,90
18,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6756186433693024,-1168.6851021328823,1730.799959788947,0.0,11.370606646537707,46513,95
19,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6753961963055021,-1135.3406343080246,1681.9994496837169,0.0,11.37027302876151,48874,100
20,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6751657181721514,-1093.3788765019035,1620.4229758317165,0.0,11.369927366287946,51235,105
21,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6749288951702178,-1045.1638066910455,1549.5539501571557,0.0,11.36957218801808,53599,110
22,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6746875689548906,-995.3250763206387,1476.2384987060373,0.0,11.369210255997402,55959,115
23,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6744434018490133,-948.0985281434776,1406.749578903475,0.0,11.36884406331546,58320,120
24,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6741976639303435,-905.3766428258435,1343.894956870371,0.0,11.368475514787315,60682,125
25,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6739511942455443,-868.2966980234202,1289.3673260575438,0.0,11.36810586878373,63044,130
26,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.673704427105049,-836.434111429946,1242.5446266609185,0.0,11.367735776667233,65406,135
27,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6734575088160923,-808.1573290378832,1201.012351868475,0.0,11.367365457863935,67768,140
28,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.673210458449054,-781.6523509782752,1162.0817110284504,0.0,11.366994940974873,70130,145
29,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6729633103172571,-755.0542152374759,1122.984220627895,0.0,11.36662427746189,72491,150
30,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6727162290291167,-726.960137003344,1081.6341598931153,0.0,11.36625371419852,74854,155
31,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6724695711211625,-696.7455554661188,1037.0997514050825,0.0,11.365883785904895,77216,160
32,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.672223886382947,-664.4463579909471,989.4301516956672,0.0,11.365515317134806,79578,165
33,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6719798753346713,-630.6888621510668,939.5531997322986,0.0,11.36514935850221,81939,170
34,16,cyanure_benchmark_mkl,l2,1.721e-10,5,16,catalyst-ista,1e-05,covtype,0.6717383162004928,-596.4517332627398,888.92275038948,0.0,11.36478707715856,84304,175
