,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.49072448620555176,-419801.13397980924,855473.1555181687,0.0,48.65150721947043,102403,5
1,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.40639668704680576,-79640.44377811266,195968.25641845664,0.0,48.358384320400404,221651,10
2,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.3743030924109552,-20683.930230495935,55260.843292415586,0.0,48.24682718746101,340641,15
3,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.36062747694528,-8378.822325573,23235.00977803021,0.0,48.19929083418421,459538,20
4,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.3531537259319063,-4366.419176298323,12365.075063277794,0.0,48.17331212270564,578418,25
5,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.3483533363989869,-2562.4268549153517,7356.826935386298,0.0,48.15662599890551,697217,30
6,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.3449640122824307,-1752.6273052150357,5081.609115191169,0.0,48.14484472961065,816307,35
7,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.34232461699588834,-1275.8304875451124,3727.960972720336,0.0,48.13567020820844,935278,40
8,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.34014424829856243,-961.0914056998188,2826.5406654891262,0.0,48.12809126034098,1054041,45
9,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.33828594838126913,-751.4617187551797,2222.3802327616518,0.0,48.12163182152563,1173124,50
10,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.3366604426235777,-620.6122318467335,1844.4367489400715,0.0,48.115981573743724,1292285,55
11,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.3351918722525816,-532.9274620899197,1590.917614972286,0.0,48.11087683237814,1411131,60
12,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.33382880158151806,-457.7227729496178,1372.1302643185684,0.0,48.10613880730544,1530410,65
13,16,cyanure_benchmark_mkl,l2,5.191e-12,5,16,catalyst-ista,1e-05,kddb,0.3325520147911469,-391.09648366915945,1177.0460507652624,0.0,48.10170070445892,1649432,70
