,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.6083964768262358,-10836652.629241286,17811827.731429845,0.0,171.7762058685605,66449,5
1,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.6461689320193147,-10836652.629241286,17811827.731429845,0.0,171.8406975935718,143699,10
2,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.6066891461102177,-9123512.164668052,15038200.089539299,0.0,171.77329081571372,225587,15
3,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.6488008509502088,-9123512.164668052,15038200.089539299,0.0,171.84519126471588,302828,20
4,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.6090528188128166,-4007559.7369310562,6605623.933301991,0.0,171.77732649010062,384759,25
5,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.6093737751069088,-4007559.7369310562,6605623.933301991,0.0,171.77787448267756,462024,30
6,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.6435330120383992,-4007559.7369310562,6605623.933301991,0.0,171.83619709113708,543917,35
7,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.5884273366380003,-4007559.7369310562,6810629.071476736,0.0,171.74211106876137,621188,40
8,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.6153725089967376,-4007559.7369310562,6810629.071476736,0.0,171.78811656766945,703222,45
9,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.585694601694775,-4007559.7369310562,6842406.112382322,0.0,171.73744526693338,780757,50
10,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.634738609635808,-4007559.7369310562,6842406.112382322,0.0,171.8211817531484,862966,55
11,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.5965492903662084,-3080619.66461789,5259772.313759357,0.0,171.75597828506267,940529,60
12,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.5915810092389109,-3080619.66461789,5259772.313759357,0.0,171.74749556879223,1022814,65
13,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.6224114315230703,-3080619.66461789,5259772.313759357,0.0,171.8001346441652,1100341,70
14,16,cyanure_benchmark_openblas,l2,4e-11,5,16,miso,1e-05,ocr,0.6521036305342925,-3080619.66461789,5259772.313759357,0.0,171.85083034620055,1182523,75
