,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.6741996145052268,-91631.50422929852,135912.5345928281,0.0,46.24670455402675,12719,5
1,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.6692193303407512,-86725.32812718318,129592.78582457358,0.0,46.236010205839335,23260,10
2,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.6627020888455026,-81014.1567703113,122249.22908200961,0.0,46.22201549239128,33637,15
3,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.6545724803454561,-74300.18061919573,113510.47809474541,0.0,46.204558483703494,44196,20
4,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.6451760665538788,-67028.68487153908,103893.08209406122,0.0,46.184381217209946,54922,25
5,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.6348961408715244,-59615.342403372444,93898.78668608418,0.0,46.1623067529912,65617,30
6,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.6240957047698011,-52393.05810996877,83951.35842987262,0.0,46.139114577518214,76276,35
7,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.6130933311027116,-45599.369018925856,74376.9011974746,0.0,46.115488774050355,86832,40
8,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.6021521443414167,-39382.44542409331,65403.81520904739,0.0,46.09199435948592,97184,45
9,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.5914773159456336,-33815.457138969636,57172.18176359248,0.0,46.0690719060806,107739,50
10,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.5812192792808155,-28915.049379172244,49749.95088640369,0.0,46.04704444495792,118107,55
11,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.5714802915624188,-24658.435892703514,43149.3574442921,0.0,46.02613155681461,128667,60
12,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.562322575782837,-20997.580069494026,37341.80930373863,0.0,46.006466855381134,139397,65
13,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.55377681173732,-17870.57127091604,32271.34952014714,0.0,45.98811622051531,150132,70
14,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.5458501212471625,-15210.616287544628,27866.920873648058,0.0,45.971094945167145,160404,75
15,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.5385329761562199,-12952.54856057577,24052.542122869818,0.0,45.95538256917491,170973,80
16,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.5318047435455002,-11036.790079722718,20754.463021298587,0.0,45.940934786709356,181357,85
17,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.5256378524454641,-9411.11559173281,17905.181648921927,0.0,45.92769239360895,191938,90
18,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.520000756765145,-8030.902713015478,15445.021202920256,0.0,45.91558764978708,202631,95
19,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.5148599518336467,-6858.550442938293,13322.196217557657,0.0,45.90454860942604,213369,100
20,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.5101813016969123,-5862.544532401318,11492.100345900424,0.0,45.89450197113053,224080,105
21,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.5059308943995703,-5016.4389651829515,9916.265149277691,0.0,45.88537491450585,234643,110
22,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.5020755933090159,-4297.901955096756,8561.26863757844,0.0,45.87709628403657,245047,115
23,1,cyanure_benchmark_blis,l2,2e-10,5,1,catalyst-ista,1e-05,alpha,0.49858340514175353,-3687.9140254384306,7397.784544784257,0.0,45.869597379363,255616,120
