,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6931402099132791,-109.49459671271156,158.96890029855686,0.0,44.42499969328612,22038,5
1,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6931350306708315,-75.08589087366082,109.32794123966151,0.0,44.424992178951115,39760,10
2,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6931284863201482,-71.48725505220244,104.13708996687129,0.0,44.42498268404063,57324,15
3,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6931213773457134,-49.9431642208643,73.05543769566029,0.0,44.42497236994238,75727,20
4,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6931147424681346,-46.05017161988118,67.43946348031733,0.0,44.42496274369041,94029,25
5,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6931078636827303,-43.726760055569805,64.08795837812873,0.0,44.4249527635633,111557,30
6,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6931004555613923,-42.09215969672035,61.73024387587058,0.0,44.42494201544597,129186,35
7,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6930924063659256,-40.859994283929964,59.953169748562345,0.0,44.42493033722239,146774,40
8,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6930836640554131,-40.00558620269284,58.72115009695905,0.0,44.42491765338869,164261,45
9,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6930741862243444,-39.513116422102044,58.01138089900215,0.0,44.424903902420574,182457,50
10,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6930639258701269,-39.278757908522486,57.67407643415988,0.0,44.42488901612405,200536,55
11,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6930528388095064,-39.15156503979517,57.491457573491644,0.0,44.424872930395566,218172,60
12,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6930408958963318,-39.013943054861,57.29385406528287,0.0,44.42485560294827,235700,65
13,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6930280880541401,-38.81968437234914,57.01459023305345,0.0,44.42483702061352,253355,70
14,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6930144223011864,-38.57657116127286,56.66488938740637,0.0,44.42481719357379,271025,75
15,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6929999139061302,-38.30949150565243,56.28065839102198,0.0,44.4247961439817,289122,80
16,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6929845799742574,-38.03830737005401,55.89055380058677,0.0,44.424773896654564,307147,85
17,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6929684361079937,-37.775746691988346,55.512939873788554,0.0,44.424750474229256,324853,90
18,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6929514950365987,-37.531343860116436,55.161574264493346,0.0,44.4247258951741,342419,95
19,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6929337660288363,-37.31073918784087,54.84459672338755,0.0,44.424700172936724,360054,100
20,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6929152550220504,-37.11212384732973,54.55939788935476,0.0,44.424673316131376,377600,105
21,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6928959657707789,-36.92654790640718,54.29306235075277,0.0,44.424645330205344,395913,110
22,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6928759016535753,-36.743603704040346,54.030569567148035,0.0,44.424616220060415,413696,115
23,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6928550671483041,-36.557645619359135,53.76377030744014,0.0,44.424585992193336,431541,120
24,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6928334682179883,-36.369598768668276,53.49399810637497,0.0,44.424554655255584,449235,125
25,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6928111116712478,-36.18419008890759,53.228074116221286,0.0,44.4245222191255,466786,130
26,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6927880041602916,-36.00609810654553,52.9727505244371,0.0,44.42448869345448,484821,135
27,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6927641514394928,-35.83795316799671,52.731824017638786,0.0,44.424454086591275,503031,140
28,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6927395580924287,-35.68033952169451,52.506138352985275,0.0,44.424418405186,520582,145
29,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6927142276189528,-35.532393534444566,52.294447432643416,0.0,44.42438165431646,538236,150
30,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6926881627262195,-35.39218277189354,52.09396215549604,0.0,44.42434383791033,555791,155
31,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6926613657285235,-35.25715471706938,51.90099789236377,0.0,44.424304959325305,573423,160
32,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6926338389611704,-35.125017298756106,51.712245522738954,0.0,44.4242650219496,591725,165
33,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6926055850659437,-34.994677799970376,51.52612706933123,0.0,44.424224029616056,609707,170
34,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6925766070345569,-34.86650915305072,51.343180521705115,0.0,44.424181986665204,627582,175
35,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6925469080241465,-34.74172572877865,51.165158960708744,0.0,44.424138897677615,645390,180
36,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6925164910893493,-34.62140082549334,50.99361209584025,0.0,44.42409476708512,663014,185
37,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6924853589940854,-34.5058371110652,50.82897712261945,0.0,44.42404959889776,680585,190
38,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6924535141816537,-34.39455059148061,50.67055533269742,0.0,44.424003396660424,698484,195
39,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6924209588738112,-34.28662513796023,50.51702385457215,0.0,44.42395616359655,716868,200
40,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6923876952225876,-34.18109023720717,50.366981061410534,0.0,44.42390790282844,734997,205
41,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6923537254476874,-34.077180973601024,50.2193220330636,0.0,44.42385861757654,752476,210
42,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6923190519204698,-33.97450434863026,50.07347884531868,0.0,44.42380831128137,770167,215
43,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6922836771756334,-33.87311236732611,49.92952626807702,0.0,44.42375698762041,788191,220
44,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6922476038506384,-33.773416547457046,49.78805843399367,0.0,44.42370465042022,806257,225
45,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6922108345800386,-33.675934235998035,49.649822501592425,0.0,44.42365130350318,824259,230
46,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6921733718926911,-33.58099291156532,49.515291508167756,0.0,44.42359695053828,842536,235
47,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6921352181576887,-33.488569839631296,49.384432638423576,0.0,44.42354159496275,860111,240
48,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6920963755959354,-33.39834396226424,49.25678206088902,0.0,44.42348523999879,877740,245
49,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6920568463372987,-33.309885999133996,49.131719490134536,0.0,44.42342788873653,895285,250
50,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6920166324868934,-33.22284846003195,49.00874270989603,0.0,44.4233695442302,912966,255
51,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6919757361688448,-33.13706644001169,48.88761326152354,0.0,44.423310209561585,931011,260
52,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6919341595349287,-33.052562339458554,48.768363339185704,0.0,44.423249887852606,948803,265
53,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6918919047423877,-32.96948723082484,48.65121112827643,0.0,44.42318858223312,966349,270
54,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6918489739144721,-32.88802845658619,48.53642730798049,0.0,44.42312629578364,984004,275
55,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6918053691014759,-32.80830906498973,48.42418970757845,0.0,44.42306303147887,1002074,280
56,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6917610922589468,-32.73031504315432,48.314478089933374,0.0,44.422998792156015,1019638,285
57,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6917161452518288,-32.653886548841385,48.20706141238512,0.0,44.422933580520834,1038044,290
58,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6916705298825333,-32.578779465439304,48.10158674965113,0.0,44.422867399188384,1056021,295
59,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6916242479291314,-32.504761215060455,47.997717781565,0.0,44.422800250738376,1073536,300
60,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6915773011767128,-32.431686406620784,47.895244177966156,0.0,44.422732137760725,1091251,305
61,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6915296914311215,-32.35951773556101,47.79411186032078,0.0,44.42266306287545,1108826,310
62,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6914814205138554,-32.28829478656221,47.69437793797562,0.0,44.422593028725274,1126468,315
63,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6914324902456821,-32.218077907629294,47.59612957467685,0.0,44.42252203795188,1144773,320
64,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6913829024296457,-32.14889568706993,47.499408032933474,0.0,44.422450093171214,1162312,325
65,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6913326588420334,-32.080713594373556,47.40416329832881,0.0,44.422377196960426,1179961,330
66,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.691281761235496,-32.013430855052704,47.31024952522481,0.0,44.422303351862354,1197603,335
67,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6912302113531102,-31.946904544536476,47.21745985610085,0.0,44.42222856040595,1215137,340
68,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6911780109482853,-31.880990694750782,47.12558586898702,0.0,44.42215282513516,1233475,345
69,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6911251618024161,-31.815583795845757,47.03447472939992,0.0,44.42207614863452,1251461,350
70,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6910716657348204,-31.750635794187417,46.94405669986019,0.0,44.42199853354362,1269056,355
71,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6910175246020253,-31.686146708940548,46.854331591936706,0.0,44.421919982556,1286560,360
72,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6909627402901444,-31.62213466345236,46.765325421416804,0.0,44.42184049840813,1304234,365
73,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6909073147053163,-31.55860264222201,46.677042304411394,0.0,44.42176008386557,1321918,370
74,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6908512497685213,-31.49551757720126,46.589434176683106,0.0,44.42167874171536,1340200,375
75,2,cyanure_benchmark_netlib,l2,4e-10,5,2,catalyst-ista,1e-05,epsilon,0.6907945474172587,-31.432808267909056,46.502397761288044,0.0,44.42159647476854,1358202,380
