,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.12495536802884193,-6917.47824504519,55360.59242222001,0.0,886.8331747997436,4271,5
1,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.12091988979443105,-4382.692567302749,36245.5961103133,0.0,886.7974315031669,10269,10
2,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.11966439728232825,-4382.692567302749,36625.86643343479,0.0,886.7863112743853,16065,15
3,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.11710019707883067,-2329.3069633189093,19892.571674732906,0.0,886.7635994759236,21468,20
4,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.11688540588251456,-2329.3069633189093,19929.124864965383,0.0,886.761697013567,27228,25
5,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.1154075620357735,-2329.3069633189093,20184.313140233233,0.0,886.7486073602868,32672,30
6,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.11450607236021977,-2154.112094801066,18813.208386857743,0.0,886.740622628128,38693,35
7,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.11528509128318472,-2154.112094801066,18813.208386857743,0.0,886.7475226044841,44133,40
8,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.11579030828236814,-2154.112094801066,18813.208386857743,0.0,886.7519974448842,49853,45
9,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.11366658917497219,-2154.112094801066,18952.145718687334,0.0,886.7331871038311,55290,50
10,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.1129016800602189,-1948.1395744054173,17256.186755115858,0.0,886.7264121017732,61319,55
11,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.11461526639212372,-1948.1395744054173,17256.186755115858,0.0,886.741589788509,66728,60
12,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.11350863626473195,-1948.1395744054173,17256.186755115858,0.0,886.7317880731864,72449,65
13,2,cyanure_benchmark_openblas,l2,1.28e-10,5,2,miso,1e-05,rcv1,0.11415242895019345,-1948.1395744054173,17256.186755115858,0.0,886.7374903150408,77935,70
