,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.44387375033750887,-192858.88717222944,434491.4086479209,0.0,305.94635892519483,75998,5
1,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3992283892475167,-65152.932208522376,163198.14219553748,0.0,305.8103716801954,177274,10
2,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.381401260561203,-32176.394040183503,84364.62793567694,0.0,305.7560712544151,278170,15
3,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.37181127658350777,-19276.70999590668,51846.415160713084,0.0,305.72686070557245,378991,20
4,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3657563282466924,-12982.871216938402,35496.95786674077,0.0,305.708417675371,480378,25
5,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.36153423303705895,-9442.949720501638,26120.10258449493,0.0,305.69555741213946,581290,30
6,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.35838779834914325,-7246.948860000673,20221.969835978227,0.0,305.685973550024,682191,35
7,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3559295680542852,-5785.2531591763245,16254.926839520049,0.0,305.678485919569,782831,40
8,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3539401296767113,-4759.918212864187,13449.371105056365,0.0,305.67242620278193,883773,45
9,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3522854717729459,-4010.9355187104043,11386.469569677634,0.0,305.6673862083848,984735,50
10,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3508788909169369,-3445.803410800861,9821.492198308337,0.0,305.6631018426454,1085280,55
11,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3496617164265011,-3007.8535931105534,8603.181628147455,0.0,305.6593943979838,1186403,60
12,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.34859279368619184,-2660.7348722057013,7633.78794168342,0.0,305.6561385197689,1287273,65
13,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3476423854223084,-2380.247213776357,6847.826835815444,0.0,305.6532436299466,1388382,70
14,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.34678845644904294,-2149.7788487371813,6200.107290796081,0.0,305.6506426105873,1489322,75
15,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3460143182066545,-1957.6270505477594,5658.647523645484,0.0,305.6482846292817,1590108,80
16,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3453070856484989,-1795.3594195653209,5200.312421271555,0.0,305.6461304389065,1691081,85
17,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3446566381736567,-1656.7772110093863,4808.036997136298,0.0,305.64414921268366,1792013,90
18,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.34405490328675126,-1537.2407659788207,4469.010050993557,0.0,305.6423163622487,1892615,95
19,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3434953524265016,-1433.2198916091631,4173.457884756483,0.0,305.64061200197335,1993737,100
20,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.342972639481645,-1341.98784577734,3913.813126451037,0.0,305.6390198479049,2094529,105
21,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.34248233719319343,-1261.4091561779526,3684.136381618404,0.0,305.6375264148629,2195468,110
22,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.34202074192117937,-1189.7900067445664,3479.7071686393815,0.0,305.6361204217695,2296215,115
23,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.34158472693318925,-1125.7710980198904,3296.730192995662,0.0,305.63479234477455,2397042,120
24,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.34117163065725,-1068.249811250749,3132.1214510796794,0.0,305.6335340768803,2498226,125
25,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.34077917048238365,-1016.3228918018739,2983.350389442045,0.0,305.6323386653829,2599224,130
26,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3404053754758192,-969.2437002051363,2848.321957975328,0.0,305.6312001069326,2700267,135
27,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3400485332823517,-926.3899403270311,2725.2874168135995,0.0,305.6301131857922,2801271,140
28,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33970714778398436,-887.2390158659206,2612.776118499882,0.0,305.62907334487096,2902512,145
29,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3393799050132147,-851.3490064259563,2509.5427682962154,0.0,305.62807658189814,3003565,150
30,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3390656454688794,-818.3438300441524,2414.5262329880093,0.0,305.62711936509874,3104304,155
31,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3387633414444728,-787.9015582028208,2326.817058136342,0.0,305.626198564137,3205379,160
32,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3384720783202677,-759.7451292798609,2245.631619394548,0.0,305.6253113931328,3306570,165
33,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3381910390189384,-733.6349048010035,2170.291377232265,0.0,305.62445536331484,3407175,170
34,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33791949100282137,-709.362654931211,2100.2060944045643,0.0,305.62362824341494,3508016,175
35,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3376567753346532,-686.7466624033624,2034.8601579154588,0.0,305.62282802634735,3608771,180
36,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3374022974204579,-665.6277091077038,1973.8013537448558,0.0,305.62205290101247,3709809,185
37,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33715551913781894,-645.8657648666237,1916.631594933534,0.0,305.6213012283199,3810960,190
38,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3369159521083231,-627.33723904757,1862.9992170803257,0.0,305.6205715206966,3911716,195
39,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33668315192225745,-609.9326865285484,1812.5925404826498,0.0,305.61986242449564,4012947,200
40,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33645671316108805,-593.5548828844604,1765.1344626709215,0.0,305.6191727048352,4113965,205
41,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33623626508983734,-578.11720148865,1720.377894392759,0.0,305.6185012324774,4215290,210
42,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33602146791515125,-563.5422389320911,1678.1018900327854,0.0,305.617846972431,4316222,215
43,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33581200952441853,-549.7606457962273,1638.1083528990093,0.0,305.6172089740185,4417248,220
44,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3356076026338183,-536.7101281133145,1600.219218817636,0.0,305.6165863621898,4518059,225
45,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33540798228688884,-524.3345913815109,1564.2740395934438,0.0,305.6159783299025,4618888,230
46,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33521290365382544,-512.5834041717526,1530.1279022513338,0.0,305.61538413141864,4719865,235
47,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3350221400892027,-501.41076248460104,1497.6496314276299,0.0,305.6148030763893,4820870,240
48,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33483548141461117,-490.7751393213153,1466.7202314637955,0.0,305.6142345246228,4921676,245
49,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3346527323946302,-480.63880659684287,1437.2315321844212,0.0,305.61367788144315,5022630,250
50,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3344737113819359,-470.96741868563043,1409.0850083546095,0.0,305.61313259356285,5123649,255
51,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33429824910995765,-461.72964865044077,1382.190747722308,0.0,305.61259814540557,5224424,260
52,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33412618761418894,-452.89686964781384,1356.4665465814005,0.0,305.61207405582024,5325401,265
53,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3339573792657311,-444.44287519110327,1331.837115108208,0.0,305.61155987513763,5426342,270
54,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33379168590546426,-436.34363293082873,1308.2333774496979,0.0,305.61105518253294,5527462,275
55,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3336289780644064,-428.5770674273055,1285.5918538424128,0.0,305.61055958365085,5628265,280
56,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3334691342620545,-421.12286806603896,1263.8541139135905,0.0,305.61007270846875,5729329,285
57,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33331204037263534,-413.9623188347526,1242.966291922584,0.0,305.60959420936587,5830114,290
58,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.333157589052636,-407.078147153341,1222.878656016526,0.0,305.60912375938,5930736,295
59,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3330056792213674,-400.45438935008855,1203.5452247133726,0.0,305.60866105062513,6031700,300
60,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3328562155901783,-394.07627071134993,1184.9234247515074,0.0,305.6082057928573,6132496,305
61,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.332709108234622,-387.93009832271855,1166.9737852717737,0.0,305.6077577121718,6233406,310
62,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3325642722039435,-382.0031651555594,1149.6596639620316,0.0,305.6073165498134,6334358,315
63,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3324216271661544,-376.2836640651065,1132.9470013815571,0.0,305.6068820610955,6435505,320
64,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33228109708307263,-370.7606105385175,1116.804100182758,0.0,305.60645401440996,6536580,325
65,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3321426099135907,-365.42377318393125,1101.2014263662193,0.0,305.6060321903238,6637370,330
66,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33200609734108305,-360.2636110804571,1086.1114300781771,0.0,305.60561638074824,6738224,335
67,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3318714945240169,-355.2712172197696,1071.508383762557,0.0,305.60520638817985,6839402,340
68,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3317387398667711,-350.4382673665839,1057.368235760836,0.0,305.6048020250017,6940299,345
69,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33160777480843057,-345.7569737469925,1043.6684776819118,0.0,305.6044031128406,7041264,350
70,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33147854362866597,-341.22004304652825,1030.3880240670271,0.0,305.6040094819756,7142190,355
71,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3313509932686709,-336.8206382603641,1017.5071030502636,0.0,305.6036209707926,7243067,360
72,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33122507316537014,-332.5523439937827,1005.0071568729034,0.0,305.6032374252792,7344087,365
73,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33110073509880683,-328.409134856005,992.8707512322537,0.0,305.6028586985603,7444605,370
74,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3309779330503482,-324.3853466333606,981.0814925749604,0.0,305.60248465046567,7545939,375
75,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3308566230720063,-320.4756499622402,969.623952534549,0.0,305.6021151471322,7646770,380
76,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3307367631640369,-316.6750262540114,958.4835988128384,0.0,305.6017500606311,7747924,385
77,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3306183131625165,-312.97874565189494,947.646731870685,0.0,305.6013892686253,7848964,390
78,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3305012346343481,-309.38234682310343,937.1004268725057,0.0,305.6010326540498,7949711,395
79,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33038549077945056,-305.88161841184603,926.8324803858832,0.0,305.60068010481353,8050867,400
80,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33027104633979765,-302.4725819961079,916.8313613870669,0.0,305.6003315135227,8151919,405
81,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.33015786751452636,-299.1514764093783,907.0861661769006,0.0,305.59998677722166,8252761,410
82,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3300459218809979,-295.9147433011375,897.5865768456099,0.0,305.5996457971529,8353667,415
83,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3299351783206718,-292.7590138244817,888.3228229696147,0.0,305.59930847853116,8454443,420
84,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.32982560695031893,-289.68109634962866,879.2856462483909,0.0,305.5989747303338,8555229,425
85,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3297171790570568,-286.6779651126716,870.4662678254404,0.0,305.59864446510295,8656310,430
86,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3296098670382423,-283.74674971785277,861.8563580559669,0.0,305.5983175987626,8757114,435
87,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.32950364434421986,-280.8847254198847,853.4480085156667,0.0,305.5979940504439,8858146,440
88,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.32939848542589867,-278.0893041193687,845.2337060530521,0.0,305.59767374232587,8958857,445
89,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.3292943656839051,-275.3580260115851,837.2063087222866,0.0,305.5973565994802,9059985,450
90,4,cyanure_benchmark_mkl,l2,5.191e-12,5,4,ista,1e-05,kddb,0.32919126142281996,-272.68855183422073,829.3590234309835,0.0,305.5970425497319,9160892,455
