,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.1062898414875843,-164.14205742928985,1545.2873479914188,0.0,0.6531395429849283,4207,5
1,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09961329493209893,-112.46818103835453,1130.047895815695,0.0,0.5838247359756759,9903,10
2,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09787206759647962,-11.591153178675755,119.43167783545098,0.0,0.5657476004798517,15964,15
3,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09717978369675069,-1.9786157281222632,21.3603635741414,0.0,0.558560423021185,21629,20
4,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09684219710223023,-1.147732284380857,12.851572132024929,0.0,0.5550556545823472,27748,25
5,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09665638514475729,-0.8846373405388482,10.152394218074393,0.0,0.5531265854348151,33468,30
6,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09654911190951661,-0.6286696067467081,7.511397094319018,0.0,0.5520128923696694,39607,35
7,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09648045601557317,-0.37757998347560967,4.913538545201978,0.0,0.551300118183316,45334,40
8,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.096437085595291,-0.37757998347560967,4.915298571549188,0.0,0.5508498536211227,51330,45
9,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09640695460994379,-0.15999349191485557,2.659563799750534,0.0,0.550537038692479,56995,50
10,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09638599465140926,-0.15999349191485557,2.6599246860862924,0.0,0.550319435854145,62978,55
11,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09637153471198226,-0.15999349191485557,2.6601737472897473,0.0,0.5501693151439218,68621,60
12,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.096361913371284,-0.15999349191485557,2.6603395088098556,0.0,0.5500694279689986,74675,65
13,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09635351673627295,-0.15999349191485557,2.660484197507499,0.0,0.5499822554868656,80436,70
14,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09634813004363704,-0.039346407651359064,1.408377491431735,0.0,0.549926331730868,86390,75
15,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09634319440906118,-0.039346407651359064,1.4083984124950137,0.0,0.5498750907853805,92181,80
16,4,cyanure_benchmark_netlib,l2,1.28e-10,5,4,catalyst-miso,1e-05,rcv1,0.09634006142310615,-0.039346407651359064,1.40841169364173,0.0,0.5498425646410586,98290,85
