,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.5540413259486843,-34796345.50352581,62804603.96701527,0.0,216.13871992647555,391523,5
1,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.5349692662369266,-13633631.680669475,25484888.71433727,0.0,216.0977249498629,737850,10
2,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.5224850844668438,-5548584.434939954,10619604.50619743,0.0,216.07089047328162,1085421,15
3,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.5147780218715653,-2773118.9793081773,5387019.989711369,0.0,216.05432431023368,1433636,20
4,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.5095947330993633,-1663770.3246603278,3264890.168970115,0.0,216.0431829440045,1781388,25
5,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.5057231895309866,-1124572.2648634429,2223692.316007051,0.0,216.03486114549722,2130776,30
6,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.5026347112188506,-763538.4219522754,1519073.2107129318,0.0,216.02822252868876,2478230,35
7,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.5001570916335394,-542335.8724620257,1084332.066247063,0.0,216.02289693939795,2822964,40
8,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4981274874920967,-427648.8748290602,858513.9019523247,0.0,216.01853434953776,3171170,45
9,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.49637730613071224,-347789.80003425083,700657.1253682022,0.0,216.01477237285238,3518229,50
10,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.49482068745023094,-281955.13797550846,569813.7526324725,0.0,216.01142645493027,3862543,55
11,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.49342311398141125,-233931.37448101744,474099.9383197609,0.0,216.00842240122373,4209630,60
12,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.49215419507974945,-200709.67863303077,407819.6890198253,0.0,216.00569488770483,4554711,65
13,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4909835771008103,-174838.41821404386,356099.30220073834,0.0,216.00317866987655,4899864,70
14,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.48989149523157494,-151836.10557531295,309939.23541178036,0.0,216.00083126370413,5249571,75
15,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4888698121443823,-131756.7361870074,269513.9314879735,0.0,215.99863517817911,5595899,80
16,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.48791466881028545,-114729.0036389082,235142.53390522054,0.0,215.99658211840296,5942663,85
17,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4870228038783843,-100157.27965561832,205653.13550170607,0.0,215.99466507417293,6289052,90
18,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.48619098466685595,-88102.0068258012,181209.63941187595,0.0,215.99287709690998,6637299,95
19,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4854146208098383,-78568.64032217246,161859.8253297624,0.0,215.9912083197227,6987535,100
20,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4846874162826309,-70929.73268131822,146342.18877135788,0.0,215.98964520944324,7334659,105
21,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4840028306493983,-64424.90238054463,133109.5239607053,0.0,215.98817370754742,7679666,110
22,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4833554823686888,-58685.091193027016,121412.86628408576,0.0,215.9867822465291,8028460,115
23,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.48274127322172145,-53637.53792422616,111111.32120013202,0.0,215.98546201735635,8377854,120
24,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.48215692818267497,-49118.86672554129,101874.19491742656,0.0,215.98420598043265,8723155,125
25,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4815999794221906,-44915.718756560884,93264.53960905362,0.0,215.9830088312125,9069032,130
26,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4810688671577049,-41015.86413044458,85260.85972191104,0.0,215.98186721697732,9415908,135
27,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4805625260450623,-37551.580403902764,78141.88358687701,0.0,215.98077884779306,9764551,140
28,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.48007975781143214,-34597.68630812306,72067.53841404515,0.0,215.9797411479984,10110444,145
29,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4796189358192805,-32117.717598868072,66966.07414580055,0.0,215.97875062117134,10456170,150
30,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4791780882254873,-30016.984692769474,62643.648798758,0.0,215.9778030288782,10788871,155
31,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4787551419146198,-28181.404700607312,58864.92068376599,0.0,215.9768939150025,11451941,160
32,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4783481875977705,-26504.720303619073,55409.84441670791,0.0,215.97601917556935,11789578,165
33,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.477955673626554,-24928.40355489272,52157.30848305461,0.0,215.97517547534432,12125846,170
34,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.47757643255422255,-23452.754826922403,49108.856310015144,0.0,215.97436030492614,12463696,175
35,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.47720955395195425,-22098.44696363458,46308.63734847493,0.0,215.97357170736788,12799851,180
36,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.47685424057562426,-20867.029260731077,43760.764483884835,0.0,215.9728079690107,13140286,185
37,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.47650975102989285,-19739.681263162052,41426.55576354559,0.0,215.9720674962414,13476435,190
38,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.47617541108086303,-18696.032557751547,39263.910521384794,0.0,215.971348839809,13812566,195
39,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.475850631054561,-17722.57565779598,37244.98897721313,0.0,215.97065073222208,14148982,200
40,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.47553490597145887,-16811.05792206961,35352.89049419348,0.0,215.96997208803825,14483880,205
41,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.47522780324558395,-15958.9023893871,33582.583990657215,0.0,215.96931197742327,14821686,210
42,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.474928937905457,-15168.91815849146,31940.342810715614,0.0,215.96866957288944,15159148,215
43,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4746379397623789,-14443.8163946091,30432.230174815362,0.0,215.96804407872412,15494784,220
44,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.47435442889995183,-13782.403319858138,29056.074602803055,0.0,215.9674346783054,15826376,225
45,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4740780070618644,-13181.26030632604,27804.990292690294,0.0,215.96684051558992,17403140,230
46,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4738082583510088,-12634.81158382255,26667.507729931483,0.0,215.96626069661602,17727012,235
47,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.47354475994993744,-12130.90902911394,25618.23844309122,0.0,215.9656943125467,18060164,240
48,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.4732871134915459,-11650.57824548448,24617.301423327444,0.0,215.96514050710064,18405375,245
49,4,cyanure_benchmark_netlib,l2,2.181e-12,5,4,catalyst-ista,1e-05,criteo,0.47303499149097933,-11176.916134802294,23629.095882660375,0.0,215.96459857635625,18770557,250
