,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,4,cyanure_benchmark_openblas,l2,4e-10,5,4,qning-miso,1e-05,webspam,0.012382940353735902,-443.5119477804053,35817.36793127239,0.0,9.040570289178758,155571,5
1,4,cyanure_benchmark_openblas,l2,4e-10,5,4,qning-miso,1e-05,webspam,0.004886503661196914,-35.495162605214084,7264.918143984323,0.0,2.9624453148096483,282100,10
2,4,cyanure_benchmark_openblas,l2,4e-10,5,4,qning-miso,1e-05,webspam,0.002872115782540489,-23.371604563890898,8138.417267773891,0.0,1.3291758328551264,425393,15
3,4,cyanure_benchmark_openblas,l2,4e-10,5,4,qning-miso,1e-05,webspam,0.0021990656720370367,-5.457443189116686,2482.7099636962416,0.0,0.7834655369588809,598148,20
4,4,cyanure_benchmark_openblas,l2,4e-10,5,4,qning-miso,1e-05,webspam,0.0019148188203930094,-0.04744935146063779,25.78007368388984,0.0,0.5529976548539233,752245,25
5,4,cyanure_benchmark_openblas,l2,4e-10,5,4,qning-miso,1e-05,webspam,0.0017379821162938004,-0.04744935146063779,28.301403746214746,0.0,0.4096181224635173,907060,30
6,4,cyanure_benchmark_openblas,l2,4e-10,5,4,qning-miso,1e-05,webspam,0.0016584548473507887,-0.015711514588693593,10.473585979016024,0.0,0.34513726317913473,1082173,35
7,4,cyanure_benchmark_openblas,l2,4e-10,5,4,qning-miso,1e-05,webspam,0.001600466889311067,-0.015711514588693593,10.816832009224965,0.0,0.2981205176999537,1217280,40
8,4,cyanure_benchmark_openblas,l2,4e-10,5,4,qning-miso,1e-05,webspam,0.0015397174869875119,-0.009961695766318359,7.469820503116203,0.0,0.24886478799996226,1383560,45
9,4,cyanure_benchmark_openblas,l2,4e-10,5,4,qning-miso,1e-05,webspam,0.0014968738437673083,-0.009961695766318359,7.655000224499162,0.0,0.2141270814694906,2189670,50
