,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.5539204031430864,-34639701.92436311,62535523.66319954,0.0,216.16085914981025,359844,5
1,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.5347962716535573,-13488410.15581273,25221586.995929614,0.0,216.11974798600187,679267,10
2,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.5223317360866999,-5478966.776584285,10489439.795414973,0.0,216.09295296193682,999043,15
3,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.5146481650068594,-2738102.3688768377,5320339.349676897,0.0,216.07643558181582,1319031,20
4,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.5094799716251339,-1644978.8823855598,3228742.018294445,0.0,216.0653255115454,1639080,25
5,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.5056158530911753,-1110964.5087775681,2197251.1494671945,0.0,216.05701881222615,1958830,30
6,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.5025346988858302,-752802.2772685438,1498011.5432273273,0.0,216.05039525207525,2278596,35
7,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.5000655011401013,-535957.9916049663,1071776.5781653277,0.0,216.0450872153126,2598395,40
8,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4980408891074695,-423421.9362032397,850176.0467959505,0.0,216.0407349048839,2918249,45
9,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.49629266599902877,-343909.0146736929,692957.0685355079,0.0,216.03697674799065,3238238,50
10,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4947376003400238,-278682.83201648627,563295.2226848188,0.0,216.03363382185177,3558397,55
11,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.49334152473886966,-231479.35768765694,469208.12342262524,0.0,216.03063267679272,3878467,60
12,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4920733802180502,-198786.14646024487,403977.631233654,0.0,216.0279065452998,4198470,65
13,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.49090280129367286,-173060.5990376913,352536.36663801037,0.0,216.02539015066316,4518388,70
14,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4898106827530583,-150143.34809894662,306534.4289057197,0.0,216.02304242238876,4838565,75
15,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.48878931724017033,-130231.10145512717,266437.0632725063,0.0,216.02084679196594,5158705,80
16,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.48783487479791127,-113346.55226237647,232347.14439841147,0.0,216.01879502613224,5479025,85
17,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.48694407539000845,-98922.2925312044,203150.1859757704,0.0,216.01688007379056,5799350,90
18,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.48611356928296684,-87060.14829237839,179095.25655571578,0.0,216.01509473401555,6119565,95
19,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4853385099092537,-77704.51435040339,160104.74772224898,0.0,216.01342858813638,6439916,100
20,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4846124077014059,-70176.74207406596,144811.0398562337,0.0,216.01186768552364,6760185,105
21,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4839287077713047,-63733.44358850065,131701.06772695915,0.0,216.01039793512803,7080558,110
22,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4832821067133224,-58049.15586763839,120115.43225658777,0.0,216.0090079362134,7400948,115
23,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.48266855700495304,-53052.79730806035,109916.58604368739,0.0,216.00768898781678,7721235,120
24,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.48208482273429587,-48560.22615597901,100730.63069145051,0.0,216.00643413369517,8041434,125
25,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.48152851725976786,-44372.3723821554,92150.00217055691,0.0,216.00523824328292,8361612,130
26,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4809981541204482,-40505.809392445924,84212.98510941217,0.0,216.00409812113355,8681713,135
27,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4804926624217912,-37095.477244604575,77204.0046361895,0.0,216.00301146514408,9001962,140
28,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4800107704649576,-34200.39725818201,71250.22889762274,0.0,216.00197554154218,9322289,145
29,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47955076596124085,-31771.76127462023,66254.17595090266,0.0,216.00098666941926,9642590,150
30,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47911061679502537,-29709.165245464188,62009.989581991365,0.0,216.00004048033443,9962873,155
31,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4786882295440482,-27896.046928081883,58277.02436486258,0.0,215.99913247405584,10283083,160
32,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4782817159834625,-26229.988795729252,54843.131570499354,0.0,215.99825859146466,10603601,165
33,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4778895687471872,-24662.262437975376,51607.61385145695,0.0,215.9974155921747,10924151,170
34,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4775106572802117,-23199.884449109024,48586.06107748486,0.0,215.99660104583063,11244909,175
35,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47714408480554704,-21862.035728717994,45819.519866231894,0.0,215.9958130246302,11567263,180
36,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47678905326635024,-20645.61401597048,43302.359111609374,0.0,215.9950498129898,11890515,185
37,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4764448211550451,-19530.058897017385,40992.22926694987,0.0,215.99430981688994,12212444,190
38,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47611071974282554,-18495.942629939727,38848.98611535241,0.0,215.99359159876357,12533513,195
39,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.475786167673493,-17530.72946311894,36846.81573449473,0.0,215.9928939088688,12853919,200
40,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4754706682674452,-16627.062381991505,34970.691069647706,0.0,215.992215679493,13174279,205
41,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4751637945338773,-15783.654078381285,33218.291089832754,0.0,215.99155599273357,13494743,210
42,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47486516123234807,-15003.820492187086,31596.959689377643,0.0,215.99091402043877,13815208,215
43,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4745743917515148,-14289.52619604309,30111.192299472048,0.0,215.9902889530069,14136203,220
44,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4742910965935977,-13638.862067299566,28757.31055538493,0.0,215.98967995313419,14456690,225
45,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4740148672159256,-13048.074676632721,27527.720318434647,0.0,215.989086142576,14777051,230
46,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47374527840951264,-12510.333638032105,26408.299889156853,0.0,215.98850660726023,15097339,235
47,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.473481903493826,-12011.342821144053,25369.113823384327,0.0,215.98794042995135,15417736,240
48,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4732243516313424,-11531.415705931151,24368.75636371839,0.0,215.98738677046552,15738025,245
49,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4729723146266024,-11055.74730237363,23376.041118636753,0.0,215.98684496627465,16058203,250
50,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47272559120717095,-10582.003207390648,22386.086409999556,0.0,215.9863145847032,16378420,255
51,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47248407178803137,-10117.536227143752,21414.496943623406,0.0,215.9857953901762,16698726,260
52,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47224769859792026,-9671.235430882287,20480.158415373327,0.0,215.9852872585027,17019200,265
53,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4720164277353415,-9248.533407710827,19594.66849175948,0.0,215.98479009530755,17339634,270
54,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4717902065514109,-8851.402509648964,18762.310401818246,0.0,215.98430378741142,17659930,275
55,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4715689641096577,-8480.137985774034,17983.81615454676,0.0,215.98382818232218,17980279,280
56,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4713526079578832,-8134.47638901911,17258.730734240362,0.0,215.98336308129515,18300586,285
57,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4711410233395706,-7813.6047215356775,16585.428726139802,0.0,215.98290823763818,18620953,290
58,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4709340748098801,-7515.455983374043,15959.615834728233,0.0,215.9824633601854,18941239,295
59,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47073161215271986,-7236.254158559219,15373.356501546268,0.0,215.98202812601707,19261729,300
60,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.47053348111738236,-6971.300831053195,14816.738116017483,0.0,215.98160220354035,19581883,305
61,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4703395356110132,-6716.773334002922,14281.690491555704,0.0,215.9811852786993,19902198,310
62,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4701496456706364,-6471.095715042352,13764.906395828026,0.0,215.98077707211226,20222584,315
63,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4699636978505695,-6234.793807253178,13267.543428287527,0.0,215.98037733990512,20542869,320
64,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.4697815896177602,-6009.124181065359,12792.314759598623,0.0,215.97998586166233,20863112,325
65,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.46960322265068954,-5794.620692199331,12340.397203220668,0.0,215.97960242602213,21183334,330
66,8,cyanure_benchmark_netlib,l2,2.181e-12,5,8,fista,1e-05,criteo,0.46942849941228226,-5590.502266452019,11910.166728162538,0.0,215.97922682330892,21503571,335
