,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,8,cyanure_benchmark_openblas,l2,1.28e-10,5,8,ista,1e-05,rcv1,0.3247478131358418,-217904.33188369178,670996.5327475679,0.0,750.0909614996735,5726,5
1,8,cyanure_benchmark_openblas,l2,1.28e-10,5,8,ista,1e-05,rcv1,0.2579352321561758,-72985.60766760916,282961.98620376724,0.0,749.5914285907978,13259,10
2,8,cyanure_benchmark_openblas,l2,1.28e-10,5,8,ista,1e-05,rcv1,0.2299419150785414,-38710.59830431978,168350.46465109408,0.0,749.3821329326474,20788,15
3,8,cyanure_benchmark_openblas,l2,1.28e-10,5,8,ista,1e-05,rcv1,0.21379209588246273,-24673.277368082196,115408.80900359811,0.0,749.2613867192466,28318,20
4,8,cyanure_benchmark_openblas,l2,1.28e-10,5,8,ista,1e-05,rcv1,0.20300586875667367,-17420.571561055447,85814.14258424737,0.0,749.1807420961392,35845,25
5,8,cyanure_benchmark_openblas,l2,1.28e-10,5,8,ista,1e-05,rcv1,0.19516086259157822,-13126.388978574732,67260.33060689995,0.0,749.1220878922103,43370,30
6,8,cyanure_benchmark_openblas,l2,1.28e-10,5,8,ista,1e-05,rcv1,0.18912750168024317,-10344.792632873045,54698.45299318197,0.0,749.0769786884923,50894,35
7,8,cyanure_benchmark_openblas,l2,1.28e-10,5,8,ista,1e-05,rcv1,0.18430118006258617,-8424.3153688428,45710.503140359804,0.0,749.0408940702739,58419,40
8,8,cyanure_benchmark_openblas,l2,1.28e-10,5,8,ista,1e-05,rcv1,0.1803259821131303,-7033.753602044998,39006.768994687984,0.0,749.011172988317,65941,45
9,8,cyanure_benchmark_openblas,l2,1.28e-10,5,8,ista,1e-05,rcv1,0.17697721868292401,-5989.121974070172,33842.20294488526,0.0,748.9861355251192,73463,50
10,8,cyanure_benchmark_openblas,l2,1.28e-10,5,8,ista,1e-05,rcv1,0.1741052281021908,-5181.021959279595,29758.991852137842,0.0,748.9646627158365,80983,55
