,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4537184468758012,-5850439.2243105555,12894427.630866142,0.0,0.6839089827694581,197636,5
1,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4475941682246614,-521962.556422413,1166152.3788097966,0.0,0.6701995255781876,456945,10
2,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44707108704189646,-4584.796921515714,10256.185482585362,0.0,0.6690285861923155,726939,15
3,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4469130065979255,-2928.352505328389,6553.399375485041,0.0,0.6686747164220376,986262,20
4,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4468358676701606,-2928.352505328389,6554.53054041311,0.0,0.6685020376645521,1256803,25
5,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467915509524374,-763.0260408561729,1708.789771828966,0.0,0.6684028328146273,1516748,30
6,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467663105789195,-653.0023050096869,1462.619395973539,0.0,0.6683463311692996,1787424,35
7,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44675050084903906,-275.5874318796752,617.8710082158332,0.0,0.6683109404192459,2047466,40
8,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467407655906817,-275.5874318796752,617.8844509081074,0.0,0.6682891476310174,2318185,45
9,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44673454535886853,-275.5874318796752,617.8930402691193,0.0,0.6682752233786083,2578159,50
10,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467302430716317,-275.5874318796752,617.898981328841,0.0,0.6682655925263794,2848949,55
11,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467275049670404,-61.32740382610612,138.28145937786138,0.0,0.6682594631632628,3109109,60
12,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467255962019272,-61.32740382610612,138.2820459528474,0.0,0.6682551903116997,3379966,65
13,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467244007416042,-61.32740382610612,138.2824133275391,0.0,0.6682525142231257,3640161,70
14,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44672349653053833,-61.32740382610612,138.28269120026852,0.0,0.6682504901083515,3911061,75
15,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44672296804679246,-61.32740382610612,138.28285360891118,0.0,0.6682493070750992,4171258,80
16,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467223895472004,-55.08472801677054,124.30863486068974,0.0,0.6682480120792565,4442155,85
17,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44672195789223024,-23.871888866481857,54.4379124301762,0.0,0.6682470458013205,4702409,90
18,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44672166090467524,-23.871888866481857,54.437947956537116,0.0,0.668246380982098,4973271,95
19,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.446721391958825,-23.871888866481857,54.43798012852307,0.0,0.6682457789354194,5233499,100
20,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.446721187152822,-23.871888866481857,54.438004627963515,0.0,0.6682453204685059,5504335,105
21,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44672094571458965,-23.871888866481857,54.438033509477805,0.0,0.6682447799987952,5764485,110
22,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467207669461775,-23.871888866481857,54.43805489427365,0.0,0.6682443798181319,6035271,115
23,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44672060368933336,-23.871888866481857,54.43807442354569,0.0,0.6682440143607705,6295470,120
24,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44672048150717947,-23.871888866481857,54.43808903934976,0.0,0.6682437408508433,6566327,125
25,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467203984969881,-23.871888866481857,54.43809896928808,0.0,0.6682435550290134,6826552,130
26,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467202585805147,-12.234062637955214,28.386406600027087,0.0,0.6682432418200607,7097386,135
27,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467201770558124,-12.234062637955214,28.38641159794023,0.0,0.6682430593235612,7357460,140
28,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467200943406138,-12.234062637955214,28.386416668839217,0.0,0.6682428741620853,7628361,145
29,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467200358252746,-12.234062637955214,28.386420256154164,0.0,0.6682427431730196,7888499,150
30,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467199790459526,-12.234062637955214,28.38642373704252,0.0,0.6682426160701022,8159341,155
31,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467199396689167,-12.234062637955214,28.386426151074435,0.0,0.6682425279229393,8419533,160
32,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467198848018729,-10.92734281966904,25.46128590070595,0.0,0.6682424051007375,8690380,165
33,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44671985254419166,-10.92734281966904,25.461287667057633,0.0,0.6682423328905516,8950554,170
34,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44671980080573104,-6.778344639472583,16.17359344100429,0.0,0.6682422170718157,9221403,175
35,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44671976317299406,-3.32565402693098,8.444609128795376,0.0,0.6682421328293399,9481573,180
36,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44671975715163753,-3.32565402693098,8.44460922914161,0.0,0.6682421193502782,9752423,185
37,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44671970617995893,-3.32565402693098,8.444610078587523,0.0,0.6682420052480164,10012575,190
38,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.44671969016924107,-3.32565402693098,8.444610345407085,0.0,0.6682419694073463,10283382,195
39,8,cyanure_benchmark_openblas,l2,2.181e-12,5,8,catalyst-miso,1e-05,criteo,0.4467196660881521,-3.32565402693098,8.444610746719894,0.0,0.6682419155008085,10543537,200
