,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.44673420450237233,-1714311.117885449,3837430.7302689417,0.0,965.7376055749443,197709,5
1,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.34703216017577837,-508980.23123092396,1466666.8876027968,0.0,962.8176210089023,370844,10
2,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.28787061894577903,-207133.20020695037,719536.7447922266,0.0,961.0849505460083,543929,15
3,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.25037849092414877,-102281.01959229814,408506.6156971718,0.0,959.9869145337011,717240,20
4,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.224680339694594,-60025.83930001645,267162.0670591341,0.0,959.2342899965321,890516,25
5,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.205431720864723,-40300.79480945511,196177.10483822617,0.0,958.6705536129857,1068736,30
6,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.18987496064278647,-29435.959322431157,155029.1259981894,0.0,958.2149410921746,1253364,35
7,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.17666173698870252,-22416.600269893985,126890.95733879558,0.0,957.8279639805398,1438095,40
8,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.1651554251866008,-17461.324525182525,105727.61785378138,0.0,957.490977381106,1622589,45
9,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.15502059129382043,-13850.348906112396,89346.22046726648,0.0,957.1941574036804,1807037,50
10,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.14603201401266844,-11169.258891155545,76486.00205021208,0.0,956.9309079677344,1985312,55
11,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.13801245354765856,-9128.614657816965,66144.41259185472,0.0,956.6960382321895,2158040,60
12,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.13081984914892675,-7530.75878333753,57566.87270456513,0.0,956.4853876484849,2331193,65
13,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.12434368170356438,-6249.842116349082,50263.64327003538,0.0,956.2957194313958,2512005,70
14,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.11849869697078826,-5210.675446472068,43973.42821797931,0.0,956.1245367307428,2696336,75
15,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.11321616616081025,-4366.977435558711,38573.03068823169,0.0,955.9698266790185,2880312,80
16,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.10843630846771551,-3684.3625713557635,33978.203977325546,0.0,955.8298384692885,3064458,85
17,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.10410427350470863,-3132.3741934878663,30089.81468584658,0.0,955.7029656923362,3248609,90
18,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.10016936959921272,-2683.5979829350285,26791.604689560914,0.0,955.587723735659,3432738,95
19,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.09658578210813025,-2314.9636487884413,23968.954685056855,0.0,955.4827708208446,3616856,100
20,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.09331328574351064,-2008.4845592870936,21525.100703171,0.0,955.3869288655302,3801224,105
21,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.09031728414632702,-1751.0732832147062,19389.019688210676,0.0,955.2991846424031,3985588,110
22,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.08756812807380686,-1533.6622754010225,17514.93239910729,0.0,955.2186698108806,4169768,115
23,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.08504001053740269,-1349.8832101166497,15874.507089030025,0.0,955.1446285588953,4354182,120
24,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.08270987695680425,-1194.7553443898557,14446.135071520228,0.0,955.0763856844576,4538730,125
25,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.08055669666294427,-1063.8516645332643,13207.247383560249,0.0,955.0133252600857,4723315,130
26,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.07856118309586735,-953.0562874873508,12132.389191585196,0.0,954.9548824382102,4907648,135
27,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.076705816082177,-858.667666255372,11195.296731495018,0.0,954.9005441036163,5091883,140
28,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.07497494834440128,-777.5520974060132,10371.82538335722,0.0,954.8498519927945,5276279,145
29,4,cyanure_benchmark_mkl,l2,4e-10,5,4,fista,1e-05,webspam,0.07335484448678814,-707.2057896686185,9641.887314483947,0.0,954.8024038357224,5460609,150
